"businesses__id","businesses__alias","businesses__name","businesses__image_url","businesses__is_closed","businesses__url","businesses__review_count","businesses__categories__alias","businesses__categories__title","businesses__rating","businesses__coordinates__latitude","businesses__coordinates__longitude","businesses__transactions__001","businesses__transactions__002","businesses__price","businesses__location__address1","businesses__location__address2","businesses__location__address3","businesses__location__city","businesses__location__zip_code","businesses__location__country","businesses__location__state","businesses__location__display_address__001","businesses__location__display_address__002","businesses__phone","businesses__display_phone","total"
"jSjiUhpBpFvEIhxjkz1Fcw","bk-taco-factory-brooklyn","BK Taco Factory","https://s3-media4.fl.yelpcdn.com/bphoto/Y5HZR0-t9p2Ui-_MXXRPxA/o.jpg","False","https://www.yelp.com/biz/bk-taco-factory-brooklyn?adjust_creative=nyzI_VHJj-t-_qVYe0AHfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=nyzI_VHJj-t-_qVYe0AHfw","75","tacos","Tacos","4.5","40.699987","-73.921334","delivery","pickup","","195 Stanhope St","","null","Brooklyn","11237","US","NY","195 Stanhope St","Brooklyn, NY 11237","+17184434200","(718) 443-4200",""
"","","","","","","","seafood","Seafood","","","","","","","","","","","","","","","","","",""
"GsMmzzzGATnAnMP-HmYSqQ","leos-restaurant-brooklyn","Leo's Restaurant","https://s3-media4.fl.yelpcdn.com/bphoto/67uil76ucbkIz2_oFAcnfQ/o.jpg","False","https://www.yelp.com/biz/leos-restaurant-brooklyn?adjust_creative=nyzI_VHJj-t-_qVYe0AHfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=nyzI_VHJj-t-_qVYe0AHfw","76","tacos","Tacos","3.5","40.703538","-73.926315","delivery","pickup","$","207 Knickerbocker Ave","null","null","Brooklyn","11237","US","NY","207 Knickerbocker Ave","Brooklyn, NY 11237","+17184561054","(718) 456-1054",""
"AJKcsxpc9IthvhdEnfqogg","good-chinese-restaurant-brooklyn-3","Good Chinese Restaurant","https://s3-media3.fl.yelpcdn.com/bphoto/uxsKYRrs-J8WzbnrnyJjZQ/o.jpg","False","https://www.yelp.com/biz/good-chinese-restaurant-brooklyn-3?adjust_creative=nyzI_VHJj-t-_qVYe0AHfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=nyzI_VHJj-t-_qVYe0AHfw","204","chinese","Chinese","4.0","40.6951122106303","-73.9116479761463","delivery","pickup","$","663 Knickerbocker Ave","","","Brooklyn","11221","US","NY","663 Knickerbocker Ave","Brooklyn, NY 11221","+17183667829","(718) 366-7829",""
"HfVMTVjgxumjFpUF_T8mqg","taqueria-sofia-brooklyn-3","Taqueria Sofia","https://s3-media4.fl.yelpcdn.com/bphoto/jw_KQA_N3SiiJseacn7pZQ/o.jpg","False","https://www.yelp.com/biz/taqueria-sofia-brooklyn-3?adjust_creative=nyzI_VHJj-t-_qVYe0AHfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=nyzI_VHJj-t-_qVYe0AHfw","123","mexican","Mexican","4.0","40.7000869","-73.9257427","delivery","pickup","$","187 Suydam","","","Brooklyn","11221","US","NY","187 Suydam","Brooklyn, NY 11221","+17183864464","(718) 386-4464",""
"VhDkLQ9xBEoq-mYYqU8-Hg","omg-pizzeria-brooklyn","OMG Pizzeria","https://s3-media2.fl.yelpcdn.com/bphoto/G9jIj3ZA2JpnBdqhXGT9kg/o.jpg","False","https://www.yelp.com/biz/omg-pizzeria-brooklyn?adjust_creative=nyzI_VHJj-t-_qVYe0AHfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=nyzI_VHJj-t-_qVYe0AHfw","161","pizza","Pizza","2.5","40.69817","-73.92558","delivery","pickup","$","1307 Myrtle Ave","","","Brooklyn","11221","US","NY","1307 Myrtle Ave","Brooklyn, NY 11221","+17184554550","(718) 455-4550",""
"HiO_eEu1kwUDM30YEjoG-g","regalo-de-juquila-brooklyn","Regalo De Juquila","https://s3-media2.fl.yelpcdn.com/bphoto/5O7JfHyHsqtOwvexy-CXcQ/o.jpg","False","https://www.yelp.com/biz/regalo-de-juquila-brooklyn?adjust_creative=nyzI_VHJj-t-_qVYe0AHfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=nyzI_VHJj-t-_qVYe0AHfw","124","mexican","Mexican","3.5","40.69748","-73.93168","delivery","pickup","$","1209 Myrtle Ave","","","Brooklyn","11221","US","NY","1209 Myrtle Ave","Brooklyn, NY 11221","+13472407111","(347) 240-7111",""
"zSCp9pjEQ_M3LBuPRDo-Bg","desi-grill-brooklyn-2","Desi Grill","https://s3-media1.fl.yelpcdn.com/bphoto/ExRgJvuwxy0C27KTaBeX2A/o.jpg","False","https://www.yelp.com/biz/desi-grill-brooklyn-2?adjust_creative=nyzI_VHJj-t-_qVYe0AHfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=nyzI_VHJj-t-_qVYe0AHfw","340","indpak","Indian","4.0","40.705618","-73.9218269","delivery","pickup","$$","46 Wyckoff Ave","","","Brooklyn","11237","US","NY","46 Wyckoff Ave","Brooklyn, NY 11237","+17183819777","(718) 381-9777",""
"1ckkPS7KtGSu_xXXWKcbvQ","tandoori-masala-brooklyn","Tandoori Masala","https://s3-media4.fl.yelpcdn.com/bphoto/YF77DrvGGpw25Oig4FN5zg/o.jpg","False","https://www.yelp.com/biz/tandoori-masala-brooklyn?adjust_creative=nyzI_VHJj-t-_qVYe0AHfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=nyzI_VHJj-t-_qVYe0AHfw","194","indpak","Indian","4.0","40.6840199","-73.91184","delivery","pickup","$$","1695 Broadway","","","Brooklyn","11207","US","NY","1695 Broadway","Brooklyn, NY 11207","+13473782397","(347) 378-2397",""
"IDEq8v88W58i2QZuNFjl-w","bombay-kitchen-brooklyn","Bombay Kitchen","https://s3-media2.fl.yelpcdn.com/bphoto/rVkI9HohFLk8SzBAfmQN1Q/o.jpg","False","https://www.yelp.com/biz/bombay-kitchen-brooklyn?adjust_creative=nyzI_VHJj-t-_qVYe0AHfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=nyzI_VHJj-t-_qVYe0AHfw","219","indpak","Indian","3.5","40.694066","-73.909556","delivery","pickup","$$","733 Knickerbocker Ave","","","Brooklyn","11221","US","NY","733 Knickerbocker Ave","Brooklyn, NY 11221","+13479151888","(347) 915-1888",""
"7lyRdXsBq0Xo3G_RSK0q_w","el-burro-mexican-grill-brooklyn","El Burro Mexican Grill","https://s3-media2.fl.yelpcdn.com/bphoto/-QgsEPHrj_V6peOq9qjHsg/o.jpg","False","https://www.yelp.com/biz/el-burro-mexican-grill-brooklyn?adjust_creative=nyzI_VHJj-t-_qVYe0AHfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=nyzI_VHJj-t-_qVYe0AHfw","37","mexican","Mexican","3.0","40.70331","-73.9222","delivery","pickup","$","324 Suydam St","","","Brooklyn","11237","US","NY","324 Suydam St","Brooklyn, NY 11237","+17184170381","(718) 417-0381",""
"","","","","","","","desserts","Desserts","","","","","","","","","","","","","","","","","",""
"","","","","","","","seafood","Seafood","","","","","","","","","","","","","","","","","",""
"7eUoHxFCZKdYkl7ONixCKA","nepalese-indian-restaurant-ridgewood","Nepalese Indian Restaurant","https://s3-media4.fl.yelpcdn.com/bphoto/0tSSofOlX8l-K7afMVAilQ/o.jpg","False","https://www.yelp.com/biz/nepalese-indian-restaurant-ridgewood?adjust_creative=nyzI_VHJj-t-_qVYe0AHfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=nyzI_VHJj-t-_qVYe0AHfw","239","indpak","Indian","4.0","40.700617","-73.903777","delivery","pickup","$$","907 Seneca Ave","","","Ridgewood","11385","US","NY","907 Seneca Ave","Ridgewood, NY 11385","+17184171873","(718) 417-1873",""
"","","","","","","","himalayan","Himalayan/Nepalese","","","","","","","","","","","","","","","","","",""
"","","","","","","","beerbar","Beer Bar","","","","","","","","","","","","","","","","","",""
"XUnK_1giqqoG3O0trpQJew","listo-el-chimi-ridgewood-3","Listo El Chimi","https://s3-media2.fl.yelpcdn.com/bphoto/phgEFmxe2g9rdMOUzn8ceQ/o.jpg","False","https://www.yelp.com/biz/listo-el-chimi-ridgewood-3?adjust_creative=nyzI_VHJj-t-_qVYe0AHfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=nyzI_VHJj-t-_qVYe0AHfw","77","dominican","Dominican","3.5","40.6998583557259","-73.9073220084344","delivery","pickup","$","55-30 Myrtle Ave","","","Ridgewood","11385","US","NY","55-30 Myrtle Ave","Ridgewood, NY 11385","+13479874944","(347) 987-4944",""
"","","","","","","","cafeteria","Cafeteria","","","","","","","","","","","","","","","","","",""
"DhivGpHqgPy1f1gSXhrvPg","la-burrito-brooklyn-3","LA Burrito","https://s3-media2.fl.yelpcdn.com/bphoto/yHUZH0qt3DyDp4QsLOzZjg/o.jpg","False","https://www.yelp.com/biz/la-burrito-brooklyn-3?adjust_creative=nyzI_VHJj-t-_qVYe0AHfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=nyzI_VHJj-t-_qVYe0AHfw","190","mexican","Mexican","3.0","40.7023567486571","-73.9283849730164","delivery","pickup","$","67 Wilson Ave","","","Brooklyn","11237","US","NY","67 Wilson Ave","Brooklyn, NY 11237","+17183814740","(718) 381-4740",""
"4vvi0-0o0-v2WYBx3ZwAIQ","taqueria-acatlan-brooklyn-2","Taqueria Acatlan","https://s3-media2.fl.yelpcdn.com/bphoto/rnL_bH9mGtz8iP2cu7sJ0w/o.jpg","False","https://www.yelp.com/biz/taqueria-acatlan-brooklyn-2?adjust_creative=nyzI_VHJj-t-_qVYe0AHfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=nyzI_VHJj-t-_qVYe0AHfw","67","mexican","Mexican","3.0","40.6989841","-73.9145874","delivery","pickup","$","298 Irving Ave","","","Brooklyn","11237","US","NY","298 Irving Ave","Brooklyn, NY 11237","+17184562095","(718) 456-2095",""
"FGIXGWJ3ZV-wRbziBneGjw","merindas-deli-and-grill-brooklyn","Merinda's Deli & Grill","https://s3-media3.fl.yelpcdn.com/bphoto/QI_ptfZsaWZQY8-Nb3D1MQ/o.jpg","False","https://www.yelp.com/biz/merindas-deli-and-grill-brooklyn?adjust_creative=nyzI_VHJj-t-_qVYe0AHfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=nyzI_VHJj-t-_qVYe0AHfw","33","delis","Delis","3.0","40.6994087","-73.9138464","delivery","pickup","","1543 Myrtle Ave","null","","Brooklyn","11237","US","NY","1543 Myrtle Ave","Brooklyn, NY 11237","+17185766880","(718) 576-6880",""
"","","","","","","","burgers","Burgers","","","","","","","","","","","","","","","","","",""
"","","","","","","","tradamerican","American (Traditional)","","","","","","","","","","","","","","","","","",""
